id;name;sector;type_of_activity;property_type;area_class;architecture_type;number_of_floors;features;description_of_the_features
1;Home Loan Account Analyst;PNG;parse leading edge Industrial;Mouse;wireless Customer;open-source Montana bypassing;Port;connecting;../fake-data/blob/hipster.txt
2;grey;payment Specialist Cotton;Christmas Island lavender;Checking Account;Refined Unbranded Wooden Chair;invoice open-source;Small Frozen Soap Streets Illinois;withdrawal;../fake-data/blob/hipster.txt
3;Rand Loti bi-directional;Total flexibility Cliffs;Barbados Dollar vortals Optimization;Intelligent Rubber Chicken bluetooth maximize;asymmetric;Technician;Chips Credit Card Account Avon;Avon Regional;../fake-data/blob/hipster.txt
4;Granite web services Central;Towels Tasty Granite Salad;Unbranded Steel Bike didactic Money Market Account;Games;firmware system Expanded;Kentucky French Guiana Chair;Congolese Franc hack;vertical Sleek interfaces;../fake-data/blob/hipster.txt
5;circuit RAM New Jersey;extend Mission;Computers Norway;Pakistan Investment Account Response;challenge;deposit user-centric Expressway;Music Leone;Centralized quantifying card;../fake-data/blob/hipster.txt
6;Trail Generic Crest;e-services Iran Pennsylvania;cross-platform Sleek;invoice Director;Practical Frozen Bike South Carolina Fully-configurable;Refined Fresh Computer solid state;Pre-emptive pixel revolutionize;compress compress;../fake-data/blob/hipster.txt
7;Lithuanian Litas;Handcrafted Plastic Fish middleware;programming Diverse;COM;revolutionary;Licensed;Visionary Engineer Prairie;USB;../fake-data/blob/hipster.txt
8;Handcrafted Cotton Hat XSS Guarani;Ergonomic redefine European Unit of Account 17(E.U.A.-17);Shirt revolutionize;Ergonomic Generic;Lead Belize Refined;Flat Administrator;Cove XSS transmit;Personal Loan Account;../fake-data/blob/hipster.txt
9;Right-sized;Wallis and Futuna;seize Internal;Cambridgeshire turquoise;Cotton mobile withdrawal;Technician;Branding Bike technologies;Ridge;../fake-data/blob/hipster.txt
10;compressing Tasty Rubber Towels;Music;South Georgia and the South Sandwich Islands;primary;Buckinghamshire embrace;turquoise;Intelligent Pants Burgs;IB Fantastic Cotton Mouse hard drive;../fake-data/blob/hipster.txt
