id;state;units;district;square;real_estate_number;activity_number;area_of_the_real_estate
1;Cheese technologies;firewall;Small Metal Table New York;South Georgia and the South Sandwich Islands;Data Berkshire Fantastic;fuchsia Creative Brand;Cambridgeshire North Carolina
2;array engineer;Clothing Switzerland;Shirt content-based Forward;Kentucky;Sleek Granite Shoes generating Bypass;Future Directives multi-byte;International IB Wooden
3;Senior;integrated Mobility JSON;Steel;Granite Decentralized capacitor;Concrete;Kroon Congolese Franc;program
4;optimal;matrix multi-byte supply-chains;Accounts connect Multi-layered;navigating;Synergistic;Egyptian Pound bi-directional;Hollow Interactions Grocery
5;Berkshire;Chief;bus;Radial;olive Internal Florida;Soft Iceland input;copying
6;Drives Generic;alarm Salad;sticky Isle of Man Singapore Dollar;overriding;utilize;copying success;capability Maine
7;Mauritius Engineer;Cambridgeshire Concrete French Guiana;card;card Dynamic virtual;synthesizing quantifying copying;redefine indexing azure;Guinea Franc invoice
8;Administrator Indiana Wisconsin;experiences quantifying Clothing;Jewelery connecting Configuration;Stand-alone Sleek Soft Bacon;impactful Programmable Industrial;invoice Facilitator;Stand-alone Cotton
9;Pants neural-net deposit;infomediaries;Garden Borders;Automotive circuit;Awesome Cotton Car XSS Self-enabling;Avon;Mobility Movies
10;toolset Gorgeous Wooden Ball Fantastic Fresh Towels;Avon Soap;program convergence International;Manat Home Loan Account;synthesizing Concrete;Wisconsin Accountability B2B;Direct PCI Kina
